ut_strain [-], ut_stress [MPa], bt_strain [-], bt_stress [MPa], ps_strain [-], ps_stress [MPa]
1,0,1,0,1,0
1.02423152035831,0.0282511465836337,1.0672268907563,0.164113785557987,1.0426601868576,0.065577307396771
1.12114496145751,0.131851324390999,1.11764705882353,0.25601750547046,1.12097664929766,0.162546632916218
1.23416218812609,0.21666796581211,1.20168067226891,0.354485776805252,1.19219824057591,0.245264158911253
1.39557925384108,0.310964857764641,1.30252100840336,0.459518599562363,1.30636589264135,0.330910881661187
1.58118991891226,0.405299670719298,1.42016806722689,0.538293216630197,1.44201307223514,0.416598382092164
1.90388500666778,0.490444960825498,1.68067226890756,0.676148796498906,1.84933144483283,0.591079282993533
2.17820553604497,0.584918817454616,1.94117647058824,0.794310722100656,2.38555297113973,0.760109567195533
2.4202552926132,0.669937704220397,2.48739495798319,0.99781181619256,2.96470756396429,0.934916689545244
3.01728355007995,0.858961259482884,3.03361344537815,1.28665207877462,3.45790506386683,1.11810362534922
3.57398914195306,1.04792161307516,3.43697478991597,1.49671772428884,3.93686084436763,1.28417752767563
4.03390769606738,1.22732587413177,3.7563025210084,1.77899343544858,4.34415322842626,1.46435371136262
4.76019600944654,1.58583102822797,4.0672268907563,2.04814004376368,4.66561846225814,1.62443329457576
5.36552896637882,1.95355098584072,4.4453781512605,2.51422319474836,4.92973998466676,1.79864234427018
5.75311952910542,2.32092965443433,inf,inf,inf,inf
6.14876198461671,2.67891655483482,inf,inf,inf,inf
6.40730737710962,3.0366885695566,inf,inf,inf,inf
6.60136178532078,3.41316827866038,inf,inf,inf,inf
6.85991981814773,3.78034470190932,inf,inf,inf,inf
7.05392366502272,4.11920677690442,inf,inf,inf,inf
7.15120367580914,4.4955348019997,inf,inf,inf,inf
7.25654821971429,4.87187546742902,inf,inf,inf,inf
7.40217750821095,5.22006610894704,inf,inf,inf,inf
7.49945751899737,5.59639413404232,inf,inf,inf,inf
7.60526975526207,6.3206979149769,inf,inf,inf,inf
