# Simple tension lambda, stress, Plane tension lambda, stress, Equibiaxial tension lambda, stress
1,0,1,0,1,0
1.36,3.16,1.06,0.8,1.04,2.17
1.6,4.27,1.1,1.55,1.17,3.35
1.89,5.45,1.16,2.17,1.29,4.4
2.16,6.13,1.26,2.79,1.34,4.83
2.42,6.99,1.4,4.03,1.43,5.39
3.07,8.97,1.83,5.88,1.66,6.5
3.59,10.64,2.4,7.55,1.9,7.8
4.03,12.31,3,9.53,2.49,9.78
4.79,16.27,3.51,10.95,3.01,12.82
5.37,20.05,4.05,12.68,3.39,14.67
5.84,23.39,4.45,14.66,3.73,17.27
6.17,27.36,5.06,18,4.08,20.31
6.43,30.77,inf,0,4.24,22.17
6.69,34.42,inf,0,4.47,24.96
6.93,38.08,inf,0,inf,0
7.06,42.04,inf,0,inf,0
7.19,45.56,inf,0,inf,0
7.34,49.23,inf,0,inf,0
7.47,53.02,inf,0,inf,0
7.58,56.73,inf,0,inf,0
7.65,64.3,inf,0,inf,0
